"time","pred_P1","pred_P2","pred_P3","pred_P4"
"1149","0","0","0","0"
"1150","0","0","0","0"
"1151","0","0","1","0"
"1152","0","1","1","0"
"1153","0","1","1","1"
"1154","0","1","1","1"
"1155","0","1","1","1"
"1156","0","1","1","1"
"1157","0","1","1","1"
"1158","0","1","1","1"
"1159","0","1","1","1"
"1160","0","1","0","0"
"1161","0","0","0","0"
"1162","0","0","0","0"
"1163","0","0","0","0"
"1164","0","0","0","0"
"1165","0","0","0","0"
"1166","0","0","0","0"
"1167","0","0","0","0"
"1168","0","0","0","0"
"1169","0","0","0","0"
"1170","0","0","0","0"
"1171","0","0","1","0"
"1172","0","1","1","0"
"1173","0","1","1","1"
"1174","0","1","1","1"
"1175","0","1","1","1"
"1176","0","1","1","1"
"1177","0","1","1","1"
"1178","0","1","1","1"
"1179","0","1","1","1"
"1180","0","0","0","0"
"1181","0","0","0","0"
"1182","0","0","0","0"
"1183","0","0","0","0"
"1184","0","0","0","0"
"1185","0","0","0","0"
"1186","0","0","0","0"
"1187","0","0","0","0"
"1188","0","0","0","0"
"1189","0","0","0","0"
"1190","0","0","1","0"
"1191","0","0","1","0"
"1192","0","1","1","0"
"1193","0","1","1","1"
"1194","0","1","1","1"
"1195","0","1","1","1"
"1196","0","1","1","1"
"1197","0","1","1","1"
"1198","0","1","1","1"
"1199","0","1","1","1"
"1200","0","1","0","0"
"1201","0","1","0","0"
"1202","0","1","0","0"
"1203","0","1","0","0"
"1204","0","1","0","0"
"1205","0","1","0","0"
"1206","1","1","0","0"
"1207","1","1","0","0"
"1208","1","1","0","0"
"1209","1","1","0","0"
"1210","1","1","0","0"
"1211","1","1","1","0"
"1212","1","1","1","0"
"1213","1","1","1","1"
"1214","1","1","1","1"
"1215","1","1","1","1"
"1216","1","1","1","1"
"1217","1","1","1","1"
"1218","1","1","1","1"
"1219","1","1","1","1"
"1220","1","1","0","0"
"1221","1","1","0","0"
"1222","1","1","0","0"
"1223","1","1","0","0"
"1224","1","1","0","0"
"1225","1","1","0","0"
"1226","1","1","0","0"
"1227","1","1","0","0"
"1228","1","1","0","0"
"1229","1","1","0","0"
"1230","1","1","0","0"
"1231","1","1","1","0"
"1232","1","1","1","0"
"1233","1","1","1","1"
"1234","1","1","1","1"
"1235","1","1","1","1"
"1236","1","1","1","1"
"1237","1","1","1","1"
"1238","1","1","1","1"
"1239","1","1","1","1"
"1240","1","1","0","0"
"1241","1","1","0","0"
"1242","1","1","0","0"
"1243","1","1","0","0"
"1244","1","1","0","0"
"1245","1","1","0","0"
"1246","1","1","0","0"
"1247","1","1","0","0"
"1248","1","1","0","0"
"1249","1","1","0","0"
"1250","1","1","0","0"
"1251","1","1","1","0"
"1252","1","1","1","0"
"1253","1","1","1","1"
"1254","1","1","1","1"
"1255","1","1","1","1"
"1256","1","1","1","1"
"1257","1","1","1","1"
"1258","1","1","1","1"
"1259","1","1","1","1"
"1260","1","1","0","0"
"1261","1","1","0","0"
"1262","1","1","0","0"
"1263","1","1","0","0"
"1264","1","1","0","0"
"1265","1","1","0","0"
"1266","1","1","0","0"
"1267","1","1","0","0"
"1268","1","1","0","0"
"1269","1","1","0","0"
"1270","1","1","0","0"
"1271","1","1","1","0"
"1272","1","1","1","0"
"1273","1","1","1","1"
"1274","1","1","1","1"
"1275","1","1","1","1"
"1276","1","1","1","1"
"1277","1","1","1","1"
"1278","1","1","1","1"
"1279","1","1","1","1"
"1280","1","1","0","0"
"1281","1","1","0","0"
"1282","0","0","0","0"
"1283","0","0","0","0"
"1284","0","0","0","0"
"1285","0","0","0","0"
"1286","0","0","0","0"
"1287","0","0","0","0"
"1288","0","0","0","0"
"1289","0","0","0","0"
"1290","0","0","0","0"
"1291","0","0","1","0"
"1292","0","1","1","0"
"1293","0","1","1","1"
"1294","0","1","1","1"
"1295","0","1","1","1"
"1296","0","1","1","1"
"1297","0","1","1","1"
"1298","0","1","1","1"
"1299","0","1","1","1"
"1300","0","1","0","0"
"1301","0","1","0","0"
"1302","0","1","1","0"
"1303","1","1","1","0"
"1304","1","1","1","0"
"1305","1","1","0","0"
"1306","0","0","0","0"
"1307","0","0","0","0"
"1308","0","0","0","0"
"1309","0","0","0","0"
"1310","0","0","1","0"
"1311","0","0","1","0"
"1312","0","1","1","0"
"1313","0","1","1","1"
"1314","0","1","1","1"
"1315","0","1","1","1"
"1316","0","1","1","1"
"1317","0","1","1","1"
"1318","0","1","1","1"
"1319","0","1","1","1"
"1320","0","1","0","0"
"1321","0","1","0","0"
"1322","0","1","0","0"
"1323","0","1","0","0"
"1324","0","1","0","0"
"1325","0","1","0","0"
"1326","0","1","0","0"
"1327","1","1","0","0"
"1328","1","1","0","0"
"1329","1","1","0","0"
"1330","1","1","0","0"
"1331","1","1","1","0"
"1332","1","1","1","0"
"1333","1","1","1","1"
"1334","1","1","1","1"
"1335","1","1","1","1"
"1336","1","1","1","1"
"1337","1","1","1","1"
"1338","1","1","1","1"
"1339","1","1","1","1"
"1340","1","1","0","0"
"1341","1","1","0","0"
"1342","1","1","0","0"
"1343","1","1","0","0"
"1344","1","1","0","0"
"1345","1","1","0","0"
"1346","1","1","0","0"
"1347","1","1","0","0"
"1348","1","1","0","0"
"1349","1","1","0","0"
"1350","1","1","0","0"
"1351","1","1","1","0"
"1352","1","1","1","0"
"1353","1","1","1","1"
"1354","1","1","1","1"
"1355","1","1","1","1"
"1356","1","1","1","1"
"1357","1","1","1","1"
"1358","1","1","1","1"
"1359","1","1","1","1"
"1360","1","1","0","0"
"1361","1","1","0","0"
"1362","1","1","0","0"
"1363","1","1","0","0"
"1364","1","1","0","0"
"1365","1","1","0","0"
"1366","1","1","0","0"
"1367","1","1","0","0"
"1368","1","1","0","0"
"1369","1","1","0","0"
"1370","1","1","0","0"
"1371","1","1","1","0"
"1372","1","1","1","0"
"1373","1","1","1","1"
"1374","1","1","1","1"
"1375","1","1","1","1"
"1376","1","1","1","1"
"1377","1","1","1","1"
"1378","1","1","1","1"
"1379","1","1","1","1"
"1380","1","1","0","0"
"1381","1","1","0","0"
"1382","1","1","0","0"
"1383","1","1","0","0"
"1384","1","1","0","0"
"1385","1","1","0","0"
"1386","0","0","0","0"
"1387","0","0","0","0"
"1388","0","0","0","0"
"1389","0","0","0","0"
"1390","0","0","1","0"
"1391","0","0","1","0"
"1392","0","1","1","0"
"1393","0","1","1","1"
"1394","0","1","1","1"
"1395","0","1","1","1"
"1396","0","1","1","1"
"1397","0","1","1","1"
"1398","0","1","1","1"
"1399","0","1","1","1"
"1400","0","1","0","0"
"1401","0","1","0","0"
"1402","0","1","0","0"
"1403","0","1","0","0"
"1404","0","1","0","0"
"1405","0","1","0","0"
"1406","0","1","0","0"
"1407","1","1","0","0"
"1408","1","1","0","0"
"1409","1","1","0","0"
"1410","1","1","0","0"
"1411","1","1","1","0"
"1412","1","1","1","0"
"1413","1","1","1","1"
"1414","1","1","1","1"
"1415","1","1","1","1"
"1416","1","1","1","1"
"1417","1","1","1","1"
"1418","1","1","1","1"
"1419","1","1","1","1"
"1420","1","1","0","0"
"1421","1","1","0","0"
"1422","0","0","0","1"
"1423","0","0","0","0"
"1424","0","0","0","0"
"1425","0","0","0","0"
"1426","0","0","0","0"
"1427","0","0","0","0"
"1428","0","0","0","0"
"1429","0","0","0","0"
"1430","0","0","0","0"
"1431","0","0","1","0"
"1432","0","1","1","0"
"1433","0","1","1","1"
"1434","0","1","1","1"
"1435","0","1","1","1"
"1436","0","1","1","1"
"1437","0","1","1","1"
"1438","0","1","1","1"
"1439","0","1","1","1"
"1440","0","0","0","1"
"1441","0","0","0","0"
"1442","0","0","0","0"
"1443","0","0","0","0"
"1444","0","0","0","0"
"1445","0","0","0","0"
"1446","0","0","0","0"
"1447","0","0","0","0"
"1448","0","0","0","0"
"1449","0","0","0","0"
"1450","0","0","0","0"
"1451","0","1","1","0"
"1452","0","1","1","0"
"1453","0","1","1","1"
"1454","0","1","1","1"
"1455","0","1","1","1"
"1456","0","1","1","1"
"1457","0","1","1","1"
"1458","0","1","1","1"
"1459","0","1","1","1"
"1460","0","1","0","0"
"1461","0","1","0","0"
"1462","0","1","0","0"
"1463","0","1","0","0"
"1464","0","1","0","0"
"1465","0","0","0","0"
"1466","0","0","0","0"
"1467","0","0","0","0"
"1468","0","0","0","0"
"1469","0","0","0","0"
"1470","0","0","1","0"
"1471","0","0","1","0"
"1472","0","1","1","0"
"1473","0","1","1","1"
"1474","0","1","1","1"
"1475","0","1","1","1"
"1476","0","1","1","1"
"1477","0","1","1","1"
"1478","0","1","1","1"
"1479","0","1","1","1"
"1480","0","1","0","0"
"1481","0","1","0","0"
"1482","0","1","0","0"
"1483","0","1","0","0"
"1484","0","0","0","0"
"1485","0","0","0","0"
"1486","0","0","0","0"
"1487","0","0","0","0"
"1488","0","0","0","0"
"1489","0","0","0","0"
"1490","0","0","0","0"
"1491","0","0","1","0"
"1492","0","1","1","0"
"1493","0","1","1","1"
"1494","0","1","1","1"
"1495","0","1","1","1"
"1496","0","1","1","1"
"1497","0","1","1","1"
"1498","0","1","1","1"
"1499","0","1","1","1"
"1500","0","1","0","0"
"1501","0","1","0","0"
"1502","0","1","0","0"
"1503","0","1","0","0"
"1504","0","1","0","0"
"1505","0","0","0","0"
"1506","0","0","0","0"
"1507","0","0","0","0"
"1508","0","0","0","0"
"1509","0","0","0","0"
"1510","0","0","0","0"
"1511","0","0","1","0"
"1512","0","1","1","0"
"1513","0","1","1","1"
"1514","0","1","1","1"
"1515","0","1","1","1"
"1516","0","1","1","1"
"1517","0","1","1","1"
"1518","0","1","1","1"
"1519","0","1","1","1"
"1520","0","1","0","0"
"1521","0","1","0","0"
"1522","0","1","0","0"
"1523","0","0","0","0"
"1524","0","0","0","0"
"1525","0","0","0","0"
"1526","0","0","0","0"
"1527","0","0","0","0"
"1528","0","0","0","0"
"1529","0","0","0","0"
"1530","0","0","0","0"
"1531","0","0","1","0"
"1532","0","1","1","0"
"1533","0","1","1","1"
"1534","0","1","1","1"
"1535","0","1","1","1"
"1536","0","1","1","1"
"1537","0","1","1","1"
"1538","0","1","1","1"
"1539","0","1","1","1"
"1540","0","1","0","0"
"1541","0","1","0","0"
"1542","0","1","0","0"
"1543","0","1","0","0"
"1544","0","1","0","0"
"1545","0","1","0","0"
"1546","0","1","0","0"
"1547","0","1","0","0"
"1548","0","0","0","0"
"1549","0","0","0","0"
"1550","0","0","1","0"
"1551","0","0","1","0"
"1552","0","1","1","0"
"1553","0","1","1","1"
"1554","0","1","1","1"
"1555","0","1","1","1"
"1556","0","1","1","1"
"1557","0","1","1","1"
"1558","0","1","1","1"
"1559","0","1","1","1"
"1560","0","1","0","0"
"1561","0","1","0","0"
"1562","0","1","0","0"
"1563","0","1","0","0"
"1564","0","1","0","0"
"1565","0","0","0","0"
"1566","0","0","0","0"
"1567","0","0","0","0"
"1568","0","0","0","0"
"1569","0","0","0","0"
"1570","0","0","0","0"
"1571","0","0","1","0"
"1572","0","0","1","0"
"1573","0","1","1","1"
"1574","0","1","1","1"
"1575","0","1","1","1"
"1576","0","1","1","1"
"1577","0","1","1","1"
"1578","0","1","1","1"
"1579","0","1","1","1"
"1580","0","1","0","0"
"1581","0","1","0","0"
"1582","0","1","0","0"
"1583","0","0","0","0"
"1584","0","0","0","0"
"1585","0","0","0","0"
"1586","0","0","0","0"
"1587","0","0","0","1"
"1588","0","0","0","0"
"1589","0","0","0","0"
"1590","0","0","1","0"
"1591","0","0","1","0"
"1592","0","1","1","0"
"1593","0","1","1","1"
"1594","0","1","1","1"
"1595","0","1","1","1"
"1596","0","1","1","1"
"1597","0","1","1","1"
"1598","0","1","1","1"
"1599","0","1","1","1"
"1600","0","0","0","0"
"1601","0","0","0","0"
"1602","0","0","0","0"
"1603","0","0","0","0"
"1604","0","0","0","0"
"1605","0","0","0","0"
"1606","0","0","0","0"
"1607","0","0","0","0"
"1608","0","0","0","0"
"1609","0","0","0","0"
"1610","0","0","0","0"
"1611","0","1","1","0"
"1612","0","1","1","0"
"1613","0","1","1","1"
"1614","0","1","1","1"
"1615","0","1","1","1"
"1616","0","1","1","1"
"1617","0","1","1","1"
"1618","0","1","1","1"
"1619","0","1","1","1"
"1620","0","1","0","0"
"1621","1","1","0","0"
"1622","1","1","0","0"
"1623","1","1","0","0"
"1624","1","1","0","0"
"1625","1","1","0","0"
"1626","0","0","0","0"
"1627","0","0","0","0"
"1628","0","0","0","0"
"1629","0","0","0","0"
"1630","0","0","1","0"
"1631","0","0","1","0"
"1632","0","1","1","0"
"1633","0","1","1","1"
"1634","0","1","1","1"
"1635","0","1","1","1"
"1636","0","1","1","1"
"1637","0","1","1","1"
"1638","0","1","1","1"
"1639","0","1","1","1"
"1640","0","1","0","0"
"1641","0","1","0","0"
"1642","0","1","0","0"
"1643","0","1","0","0"
"1644","0","1","0","0"
"1645","0","1","0","0"
"1646","0","1","0","0"
"1647","1","1","0","0"
"1648","0","0","0","0"
"1649","0","0","0","0"
"1650","0","0","0","0"
"1651","0","0","1","0"
"1652","0","1","1","0"
"1653","0","1","1","1"
"1654","0","1","1","1"
"1655","0","1","1","1"
"1656","0","1","1","1"
"1657","0","1","1","1"
"1658","0","1","1","1"
"1659","0","1","1","1"
"1660","0","1","0","0"
"1661","0","1","0","0"
"1662","0","0","0","0"
"1663","0","0","0","0"
"1664","0","0","0","0"
"1665","0","0","0","0"
"1666","0","0","0","0"
"1667","0","0","0","0"
"1668","0","0","0","0"
"1669","0","0","0","0"
"1670","0","0","0","0"
"1671","0","0","1","0"
"1672","0","1","1","0"
"1673","0","1","1","1"
"1674","0","1","1","1"
"1675","0","1","1","1"
"1676","0","1","1","1"
"1677","0","1","1","1"
"1678","0","1","1","1"
"1679","0","1","1","1"
"1680","0","1","0","0"
"1681","0","1","0","0"
"1682","0","0","0","0"
"1683","0","0","1","0"
"1684","0","0","1","0"
"1685","0","0","1","0"
"1686","0","0","0","0"
"1687","0","0","0","0"
"1688","0","0","0","0"
"1689","0","0","0","0"
"1690","0","0","0","0"
"1691","0","0","1","0"
"1692","0","1","1","0"
"1693","0","1","1","1"
"1694","0","1","1","1"
"1695","0","1","1","1"
"1696","0","1","1","1"
"1697","0","1","1","1"
"1698","0","1","1","1"
"1699","0","1","1","1"
"1700","0","1","0","0"
"1701","0","0","0","0"
"1702","0","0","0","0"
"1703","0","0","0","0"
"1704","0","0","0","0"
"1705","0","1","0","0"
"1706","0","1","0","0"
"1707","0","0","0","0"
"1708","0","0","0","0"
"1709","0","0","0","0"
"1710","0","0","1","0"
"1711","0","0","1","0"
"1712","0","1","1","0"
"1713","0","1","1","1"
"1714","0","1","1","1"
"1715","0","1","1","1"
"1716","0","1","1","1"
"1717","0","1","1","1"
"1718","0","1","1","1"
"1719","0","1","1","1"
"1720","0","1","0","0"
"1721","0","1","0","0"
"1722","0","1","0","0"
"1723","0","1","0","0"
"1724","0","1","0","0"
"1725","0","0","0","0"
"1726","0","0","0","0"
"1727","0","0","0","0"
"1728","0","0","0","0"
"1729","0","0","0","0"
"1730","0","0","0","0"
"1731","0","0","1","0"
"1732","0","1","1","0"
"1733","0","1","1","1"
"1734","0","1","1","1"
"1735","0","1","1","1"
"1736","0","1","1","1"
"1737","0","1","1","1"
"1738","0","1","1","1"
"1739","0","1","1","1"
"1740","0","1","0","0"
"1741","0","1","0","0"
"1742","0","1","0","0"
"1743","0","1","0","0"
"1744","0","1","0","0"
"1745","0","1","0","0"
"1746","1","1","0","0"
"1747","1","1","0","0"
"1748","1","1","0","0"
"1749","1","1","0","0"
"1750","1","1","0","0"
"1751","1","1","1","0"
"1752","1","1","1","0"
"1753","1","1","1","1"
"1754","1","1","1","1"
"1755","1","1","1","1"
"1756","1","1","1","1"
"1757","1","1","1","1"
"1758","1","1","1","1"
"1759","1","1","1","1"
"1760","1","1","0","0"
"1761","1","1","0","0"
"1762","1","1","0","0"
"1763","1","1","0","0"
"1764","1","1","0","0"
"1765","1","1","0","0"
"1766","1","1","0","0"
"1767","0","0","0","0"
"1768","0","0","0","0"
"1769","0","0","0","0"
"1770","0","0","0","0"
"1771","0","1","1","0"
"1772","0","1","1","0"
"1773","0","1","1","1"
"1774","0","1","1","1"
"1775","0","1","1","1"
"1776","0","1","1","1"
"1777","0","1","1","1"
"1778","0","1","1","1"
"1779","0","1","1","1"
"1780","0","1","0","0"
"1781","0","1","0","0"
"1782","0","1","0","0"
"1783","0","1","0","0"
"1784","0","1","0","0"
"1785","0","1","0","0"
"1786","0","1","0","0"
"1787","0","1","0","0"
"1788","0","0","0","0"
"1789","0","0","0","0"
"1790","0","0","1","0"
"1791","0","0","1","0"
"1792","0","1","1","0"
"1793","0","1","1","1"
"1794","0","1","1","1"
"1795","0","1","1","1"
"1796","0","1","1","1"
"1797","0","1","1","1"
"1798","0","1","1","1"
"1799","0","1","1","1"
"1800","0","1","0","0"
"1801","0","1","0","0"
"1802","0","0","0","0"
"1803","0","0","0","0"
"1804","0","0","0","0"
"1805","0","0","0","0"
"1806","0","0","0","0"
"1807","0","0","0","0"
"1808","0","0","0","0"
"1809","0","0","0","0"
"1810","0","0","0","0"
"1811","0","0","1","0"
"1812","0","1","1","0"
"1813","0","1","1","1"
"1814","0","1","1","1"
"1815","0","1","1","1"
"1816","0","1","1","1"
"1817","0","1","1","1"
"1818","0","1","1","1"
"1819","0","1","1","1"
"1820","0","1","0","0"
"1821","0","1","0","0"
"1822","0","1","0","0"
"1823","1","1","0","0"
"1824","0","0","0","0"
"1825","0","0","0","0"
"1826","0","0","0","0"
"1827","0","0","0","0"
"1828","0","0","0","0"
"1829","0","0","0","0"
"1830","0","0","0","0"
"1831","0","0","1","0"
"1832","0","1","1","0"
"1833","0","1","1","1"
"1834","0","1","1","1"
"1835","0","1","1","1"
"1836","0","1","1","1"
"1837","0","1","1","1"
"1838","0","1","1","1"
"1839","0","1","1","1"
"1840","0","1","0","0"
"1841","0","0","0","1"
"1842","0","0","0","0"
"1843","0","0","0","0"
"1844","0","0","0","0"
"1845","0","0","0","0"
"1846","0","0","0","0"
"1847","0","0","0","0"
"1848","0","0","0","0"
"1849","0","0","0","0"
"1850","0","0","1","0"
"1851","0","0","1","0"
"1852","0","1","1","0"
"1853","0","1","1","1"
"1854","0","1","1","1"
"1855","0","1","1","1"
"1856","0","1","1","1"
"1857","0","1","1","1"
"1858","0","1","1","1"
"1859","0","1","1","1"
"1860","0","1","0","0"
"1861","0","1","0","0"
"1862","0","1","0","0"
"1863","0","1","0","0"
"1864","0","0","0","0"
"1865","0","0","0","0"
"1866","0","0","0","0"
"1867","0","0","0","0"
"1868","0","0","0","0"
"1869","0","0","0","0"
"1870","0","0","0","0"
"1871","0","0","1","0"
"1872","0","1","1","0"
"1873","0","1","1","1"
"1874","0","1","1","1"
"1875","0","1","1","1"
"1876","0","1","1","1"
"1877","0","1","1","1"
"1878","0","1","1","1"
"1879","0","1","1","1"
"1880","0","1","0","0"
"1881","0","0","0","0"
"1882","0","0","0","0"
"1883","0","0","0","0"
"1884","0","0","0","0"
"1885","0","1","0","0"
"1886","0","1","0","0"
"1887","0","1","0","0"
"1888","0","1","0","0"
"1889","0","1","0","0"
"1890","0","1","0","0"
"1891","0","1","1","0"
"1892","0","1","1","0"
"1893","0","1","1","1"
"1894","0","1","1","1"
"1895","0","1","1","1"
"1896","0","1","1","1"
"1897","0","1","1","1"
"1898","0","1","1","1"
"1899","0","1","1","1"
"1900","0","1","0","0"
"1901","0","0","0","0"
"1902","0","0","0","0"
"1903","0","0","0","0"
"1904","0","0","0","0"
"1905","0","0","0","0"
"1906","0","0","0","0"
"1907","0","0","0","0"
"1908","0","0","0","0"
"1909","0","0","0","0"
"1910","0","0","0","0"
"1911","0","0","1","0"
"1912","0","1","1","0"
"1913","0","1","1","1"
"1914","0","1","1","1"
"1915","0","1","1","1"
"1916","0","1","1","1"
"1917","0","1","1","1"
"1918","0","1","1","1"
"1919","0","1","1","1"
"1920","0","1","0","0"
"1921","0","0","0","0"
"1922","0","0","0","0"
"1923","0","0","0","0"
"1924","0","0","0","0"
"1925","0","0","0","0"
"1926","0","0","0","0"
"1927","0","0","0","0"
"1928","0","0","0","0"
"1929","0","0","0","0"
"1930","0","0","0","0"
"1931","0","0","1","0"
"1932","0","1","1","0"
"1933","0","1","1","1"
"1934","0","1","1","1"
"1935","0","1","1","1"
"1936","0","1","1","1"
"1937","0","1","1","1"
"1938","0","1","1","1"
"1939","0","1","1","1"
"1940","0","1","0","0"
"1941","0","1","0","0"
"1942","1","1","0","0"
"1943","1","1","0","0"
"1944","1","1","0","0"
"1945","1","1","0","0"
"1946","1","1","0","0"
"1947","1","1","0","0"
"1948","1","1","0","0"
"1949","1","1","0","0"
"1950","1","1","0","0"
"1951","1","1","1","0"
"1952","1","1","1","0"
"1953","1","1","1","1"
"1954","1","1","1","1"
"1955","1","1","1","1"
"1956","1","1","1","1"
"1957","1","1","1","1"
"1958","1","1","1","1"
"1959","1","1","1","1"
"1960","1","1","0","0"
"1961","1","1","0","0"
"1962","1","1","0","0"
"1963","1","1","0","0"
"1964","1","1","0","0"
"1965","1","1","0","0"
"1966","1","1","0","0"
"1967","1","1","0","0"
"1968","0","0","0","0"
"1969","0","0","0","0"
"1970","0","0","1","0"
"1971","0","0","1","0"
"1972","0","1","1","0"
"1973","0","1","1","1"
"1974","0","1","1","1"
"1975","0","1","1","1"
"1976","0","1","1","1"
"1977","0","1","1","1"
"1978","0","1","1","1"
"1979","0","1","1","1"
"1980","0","1","0","0"
"1981","0","1","0","0"
"1982","0","1","0","0"
"1983","0","1","0","0"
"1984","0","0","0","0"
"1985","0","0","0","0"
"1986","0","0","0","0"
"1987","0","0","0","0"
"1988","0","0","0","0"
"1989","0","0","0","0"
"1990","0","0","0","0"
"1991","0","0","1","0"
"1992","0","1","1","0"
"1993","0","1","1","1"
"1994","0","1","1","1"
"1995","0","1","1","1"
"1996","0","1","1","1"
"1997","0","1","1","1"
"1998","0","1","1","1"
"1999","0","1","1","1"
"2000","0","1","0","0"
"2001","0","1","0","0"
"2002","0","1","0","0"
"2003","0","1","0","0"
"2004","0","1","0","0"
"2005","1","1","0","0"
"2006","0","0","0","0"
"2007","0","0","0","0"
"2008","0","0","0","0"
"2009","0","0","0","0"
"2010","0","0","1","0"
"2011","0","0","1","0"
"2012","0","1","1","0"
"2013","0","1","1","1"
"2014","0","1","1","1"
"2015","0","1","1","1"
"2016","0","1","1","1"
"2017","0","1","1","1"
"2018","0","1","1","1"
"2019","0","1","1","1"
"2020","0","1","0","0"
"2021","0","1","0","0"
"2022","0","1","0","0"
"2023","0","1","0","0"
"2024","0","1","0","0"
"2025","0","1","0","0"
"2026","0","0","0","0"
"2027","0","0","0","0"
"2028","0","0","0","0"
"2029","0","0","0","0"
"2030","0","0","1","0"
"2031","0","0","1","0"
"2032","0","1","1","0"
"2033","0","1","1","1"
"2034","0","1","1","1"
"2035","0","1","1","1"
"2036","0","1","1","1"
"2037","0","1","1","1"
"2038","0","1","1","1"
"2039","0","1","1","1"
"2040","0","1","0","0"
"2041","0","1","0","0"
"2042","0","1","0","0"
"2043","0","1","0","0"
"2044","0","0","0","0"
"2045","0","0","0","0"
"2046","0","0","0","0"
"2047","0","0","0","0"
"2048","0","0","0","0"
"2049","0","0","0","0"
"2050","0","0","0","0"
"2051","0","0","1","0"
"2052","0","1","1","0"
"2053","0","1","1","1"
"2054","0","1","1","1"
"2055","0","1","1","1"
"2056","0","1","1","1"
"2057","0","1","1","1"
"2058","0","1","1","1"
"2059","0","1","1","1"
"2060","0","1","0","0"
"2061","0","1","0","0"
"2062","0","1","0","0"
"2063","0","1","0","0"
"2064","0","1","0","0"
"2065","1","1","0","0"
"2066","1","1","0","0"
"2067","1","1","0","0"
"2068","0","0","0","0"
"2069","0","0","0","0"
"2070","0","0","1","0"
"2071","0","0","1","0"
"2072","0","1","1","0"
"2073","0","1","1","1"
"2074","0","1","1","1"
"2075","0","1","1","1"
"2076","0","1","1","1"
"2077","0","1","1","1"
"2078","0","1","1","1"
"2079","0","1","1","1"
"2080","0","1","0","0"
"2081","0","1","0","0"
"2082","0","1","0","0"
"2083","0","0","0","0"
"2084","0","0","0","0"
"2085","0","0","0","0"
"2086","0","0","0","0"
"2087","0","0","0","0"
"2088","0","0","0","0"
"2089","0","0","0","0"
"2090","0","0","0","0"
"2091","0","0","1","0"
"2092","0","1","1","0"
"2093","0","1","1","1"
"2094","0","1","1","1"
"2095","0","1","1","1"
"2096","0","1","1","1"
"2097","0","1","1","1"
"2098","0","1","1","1"
"2099","0","1","1","1"
"2100","0","1","0","0"
"2101","0","0","0","0"
"2102","0","0","0","0"
"2103","0","0","0","0"
"2104","0","0","0","0"
"2105","0","0","0","0"
"2106","0","0","0","0"
"2107","0","0","0","0"
"2108","0","0","0","0"
"2109","0","0","0","0"
"2110","0","0","1","0"
"2111","0","0","1","0"
"2112","0","1","1","0"
"2113","0","1","1","1"
"2114","0","1","1","1"
"2115","0","1","1","1"
"2116","0","1","1","1"
"2117","0","1","1","1"
"2118","0","1","1","1"
"2119","0","1","1","1"
"2120","0","1","0","0"
"2121","0","1","0","0"
"2122","0","1","0","0"
"2123","0","1","0","0"
"2124","0","1","0","0"
"2125","0","0","0","0"
"2126","0","0","0","0"
"2127","0","0","0","0"
"2128","0","0","0","0"
"2129","0","0","0","0"
"2130","0","0","0","0"
"2131","0","0","1","0"
"2132","0","1","1","0"
"2133","0","1","1","1"
"2134","0","1","1","1"
"2135","0","1","1","1"
"2136","0","1","1","1"
"2137","0","1","1","1"
"2138","0","1","1","1"
"2139","0","1","1","1"
"2140","0","1","0","0"
"2141","0","1","0","0"
"2142","0","1","0","0"
"2143","0","1","0","0"
"2144","0","1","0","0"
"2145","0","1","0","0"
"2146","1","1","0","0"
"2147","1","1","0","0"
"2148","1","1","0","0"
"2149","1","1","0","0"
"2150","1","1","0","0"
"2151","1","1","1","0"
"2152","1","1","1","0"
"2153","1","1","1","1"
"2154","1","1","1","1"
"2155","1","1","1","1"
"2156","1","1","1","1"
"2157","1","1","1","1"
"2158","1","1","1","1"
"2159","1","1","1","1"
"2160","1","1","0","0"
"2161","1","1","0","0"
"2162","1","1","0","0"
"2163","1","1","0","0"
"2164","1","1","0","0"
"2165","1","1","0","0"
"2166","1","1","0","0"
"2167","1","1","0","0"
"2168","1","1","0","0"
"2169","1","1","0","0"
"2170","1","1","0","0"
"2171","1","1","1","0"
"2172","1","1","1","0"
"2173","1","1","1","1"
"2174","1","1","1","1"
"2175","1","1","1","1"
"2176","1","1","1","1"
"2177","1","1","1","1"
"2178","1","1","1","1"
"2179","1","1","1","1"
"2180","1","1","0","0"
"2181","1","1","0","0"
"2182","1","1","0","0"
"2183","1","1","0","0"
"2184","1","1","0","0"
"2185","1","1","0","0"
"2186","0","0","0","0"
"2187","0","0","0","0"
"2188","0","0","0","0"
"2189","0","0","0","0"
"2190","0","1","0","0"
"2191","0","1","1","0"
"2192","0","1","1","0"
"2193","0","1","1","1"
"2194","0","1","1","1"
"2195","0","1","1","1"
"2196","0","1","1","1"
"2197","0","1","1","1"
"2198","0","1","1","1"
"2199","0","1","1","1"
"2200","0","1","0","0"
"2201","0","1","0","0"
"2202","0","1","0","0"
"2203","0","1","0","0"
"2204","0","1","0","0"
"2205","0","1","0","0"
"2206","0","0","0","0"
"2207","0","0","0","0"
"2208","0","0","0","0"
"2209","0","0","0","0"
"2210","0","0","1","0"
"2211","0","0","1","0"
"2212","0","1","1","0"
"2213","0","1","1","1"
"2214","0","1","1","1"
"2215","0","1","1","1"
"2216","0","1","1","1"
"2217","0","1","1","1"
"2218","0","1","1","1"
"2219","0","1","1","1"
"2220","0","1","0","0"
"2221","0","1","0","0"
"2222","0","1","0","0"
